;${file_name};${transripted_speech}
0;english368.mp3;Please call Stella sketch, bring these things with from the store six phones of fresh snow pays five six labs of blue cheese and maybe a snack brother ball. We also need a small plastic snake and the big choice for all the kids. She can scoop these things into three read bags and we will get to make a Wednesday at the train station.
1;english340.mp3;Please call Stella after to bring day safe with her from the store six thirty or fresh snow P. five, six labs and blue cheese and maybe a snack for brother Bob we also need a small plastic steak and a big to a product for the kids, she can scoop these things into three red backs and we will go meet her Wednesday at the train station.
2;english426.mp3;Please costella ask her to bring these things with her from the store six things a fresh snow piece five, six labs and blue cheese and maybe a snap for her brother Bob. They also need a small plastic snake and a big toy fraud for the kids. She can scape these things and two three red backs and WeWork. I made her Wednesday at the train station.
3;english432.mp3;Please cause then I asked him to bring these things with her from the store sixteen the fresh snow please five pics of the policies and maybe a snack for her brother bye-bye we also need a small plastic snake and the big tore Fox with the kids. She can do these things into three at bikes and we will go meet her Wednesday at the train station.
4;english354.mp3;Asked you to bring these things with you from store explains the first no pins for six labs of Bluetooth and maybe is next for her brother bull real funny to smokeless to explain and Victoria wrong so, the key and the three years and you've got me here Wednesday I can train station.
5;english383.mp3;Please call Stella ask her to bring these things with her from the store six boons of fresh snow pies five, six labs a blue cheese and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy for all for the kids. She can scoop these things into three read bags and we will go meet her Wednesday at the train station.
6;english397.mp3;Please call still extra to bring things these things with her from the stool six afresh no piece bath.And maybe a snack for her bra. But we also need a small class. Is Nate, and it'd be totally for all from the key, for the key she can do these things into three rate and we will go beat her Winston at the main train station.
7;english142.mp3;Bring these things with her from the store six five six leads blue cheese and maybe a snack for brother Bob. They're also need a small customer making a big toys truck for the kids you can skip these things in the three read bags and we don't go meter once they at the train station.
8;english156.mp3;Please call star asked her to bring these things with her from the store. Six blooms the fresh snow pies five, six labs of blue cheese and maybe a snack for her brother Bob. We also need the small plastic snake that the big toy frog for the kids. She can scoop these things into three read bags and we will go to me for Wednesday at the train station.
9;english181.mp3;Stella, S. for Sam from the store six phones are fresh, five, six flags or blue cheese and maybe a snack for her brother Bob. We also need a small plastic snake and a big problem for the kids, she can scoop these things into reread bag and we will go meet her Wednesday at the train station.
10;english195.mp3;Please call Stella S. pretty bring these things with her from the store six to the fresh snow pies five six last the flu cheese and maybe a snack for her brother Bob. We also need a small plastic snake and a big twice to the kids. She can scoop these things from the three read bags and we will, they'll meet her Wednesday at the train station.
11;english39.mp3;Please cost our, ask her to bring these things with her from the store. Six pounds of fresh, no, P. five, six lives of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snake and big twice for of the kids she can scoop these things into three bread banks and we will go meet her Wednesday at the train station.
12;english11.mp3;This call Stella ask it to bring these things with us from the store six phones of fresh no pays five six loved to go change and maybe a snack for her brother Bob. We also need a small plastic snake and a big twice roxro kids she can scoop these things and we will go me to Wednesday at the train station.
13;english208.mp3;Please call Stella ask her to bring the best things with her from the store. Six experience of fresh snow Putin, five six slabs of Bluetooth and maybe a snack for her brother Bob. We also need a small plastic snake and a big tore frog for the kids she can scoop these things into three read bags and we will go meet her Wednesday at the train station.
14;english234.mp3;Please call Stella asked her to bring these things with her from the store experience of fresh snow pies five six slabs of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy fraud for the kids. She can skip these things and just reread bags and we will go meter Wednesday at the train station.
15;english552.mp3;Please call Stella asked you to bring these things aside from the store discretionary pies, five six labs. A blue cheese and maybe a snack for brother Bob. They'll send you a small plastics making a big twice frog for the kids. She can scoop these things and distributed bags and we'll go me here Wednesday at the train station.
16;english546.mp3;Please call ask her to store the five six five and maybe aside for her brother though we also need to make a big totally for all.The things to do, three way and we will go meet her last day at.
17;english220.mp3;Costella ask her to bring these things went from the store experience especially five, six lab for Flutie's and maybe it's not for her brother box. We also need a flat plastic snake and a big twice Fox with the kids. She can scoop these things into three read back. And we will go meet her when say at the train station.
18;english547.mp3;Still ask her to Brinkley's things with our, from the store experience of fresh note though six slides Bluejeans and maybe as for her brother Bob, we also need a small plastic snake and ability for the two years she can scoop the two, three rated bags and we will go maybe our Wednesday at the train station.
19;english221.mp3;Please call stellar of cars bring these things with her from the store six months of fresh snow piece by six labs of blue cheese and maybe as smack for her brother Bob. We also need a soul plastics make and a big for, for all the kids we can scoop these things into three read bags and we will go meet Wednesday of the train station. What?
20;english235.mp3;Please call Stella ask her to bring these things west are from the store six of fresh no pays aspects of blue cheese and maybe it's knack for her brought about. We also need a small plastic snake and a big problem for the kids she can scoop these things and the three read back and we will go made her Wednesday at the train station.
21;english553.mp3;Please call, still ask her to bring these things with her from the store. Six of fresh snow P. five, six slabs of blue cheese and maybe a snack for her brother Bob. We also need a small plastics name and the big coil frog for the kids she can scoop these things into three read bags and we will go meet her on Wednesday at train station.
22;english209.mp3;Please call Della asked her to bring these things with her from the store six Funes a fresh snow pies five six lab the blue cheese and maybe it's not for her brother Bob. We also need a small plastic snake and the big car frog for the kids. She can scoop these things into three read bags and we will go meet her Wednesday at the train station.
23;english10.mp3;Please call Stella ask her to bring these times with her from the store six pins of fresh snow pays five six labs a Bluetooth and maybe snack for her brother Bob. We also need a small plastic snake and a big core frogs to the kids she will scoop please things up into three read bags and we will go meet her Wednesday at the train station.
24;english38.mp3;These costa Oscar to bring these things from the store six brings a fresh face five six labs of blue cheese I might be a snack product bald. We'll send a smooth plastics night and a big choice rock for the kids. She can skate these things into three with bags, I'm we will guy maybe Wednesday to train station.
25;english194.mp3;Please call Stella us to to bring these things with from the store six proves of fresh snow pays fivestreet slabs of blue chase. Maybe it's not for a brief about. We also need small plastic snakes, a big toy frog for the kids. She could skate these things into free route bags and we'll go through Wednesday at the train station.
26;english180.mp3;These.Things with her for the store six fresh. He's fine fix blue cheese maybe a snack for her brother. Both really need a small snake and it'd be quite from the kid these things, and reread bags and we will go meet her Wednesday at the train station.
27;english157.mp3;Please call Stella asked her brain these things with it from the store six phones. A fresh no pies five six labs of blue cheese and maybe a snack bar harbor. The Bob, I'll stay on the small plastic snake and a big to a frog the kids you can scoop these things the three rid bags and we will go me or Wednesday at the train station.
28;english143.mp3;Please call Stella asked her to bring these things with her from restore six boons a fresh snow pies five, six labs and blue cheese and maybe a snack for her brother Bob we also need a small plastic snake and a big Tory from for the kids. She can scoop these things into try read bags and we will go meet her Wednesday at the train station.
29;english396.mp3;Della asked her to bring these things with her from the store six phones a fresh, no pi that fix last a Bluetooth and maybe it's not for her brother Bob. We also need a small plastic snake and a big toy from for the key she can scoop these things into three way back and we will go meet her Wednesday at the train station.
30;english382.mp3;Please call Stella asked her to bring these things with her, from the store.To first no pies five six one two blue cheese and maybe a snack for her brother Bob we also need a small plastic snake and a big solely for all for the kids. She can scoop these things in three. She can scoop these things into three read bags we will also and we will go meet her Wednesday at the train station.
